,Gu,Dong,Name,Date,Price,Area,Floor,건축년도,Address,Year,Month,Interest Rate,Jeonse Index,Total Population,Children,Adolescent,Youth,Middle-Aged,Old Age,Consumption
0,양천구,신월동,신월시영,20240229,36100,50.67,3.0,1988.0,양천구 신월동 0987-0001,2024,202402,3.5,58.7,118305,0.07614217488694476,0.101145344659989,0.21401462321964415,0.4091543045517941,0.19953509995351,6.508188938883059
1,강동구,고덕동,아남1,20240229,100000,84.91,15.0,1996.0,강동구 고덕동 0486-0000,2024,202402,3.5,58.7,46811,0.14515818931447735,0.12725641409070518,0.19080985238512316,0.40830146760376834,0.12847407660592597,6.780687750503237
2,동대문구,이문동,세진빌딩,20240229,21000,11.48,11.0,2020.0,동대문구 이문동 0327-0007,2024,202402,3.5,58.7,37056,0.06109671848013817,0.16329339378238342,0.22822215025906736,0.35619063039723664,0.19119710708117443,6.662840571589715
3,은평구,진관동,상림마을8단지롯데캐슬(801~809동)BL1-2,20240228,67000,59.21,2.0,2008.0,은평구 진관동 0014-0000,2024,202402,3.5,58.7,54273,0.09568293626665193,0.15433088275938311,0.18922852983988356,0.40427100031323127,0.15646822545280342,6.1339627425260215
4,도봉구,도봉동,한신,20240228,51000,84.94,5.0,1995.0,도봉구 도봉동 0030-0001,2024,202402,3.5,58.7,46010,0.05761790915018474,0.08161269289284938,0.1905672679852206,0.4002390784612041,0.2699630515105412,5.796132823935153
5,강서구,화곡동,한양아이클래스,20240228,8800,13.79,11.0,2013.0,강서구 화곡동 0926-0005,2024,202402,3.5,58.7,217278,0.0664632406410221,0.10006995646130763,0.2852934949695781,0.3786945756128094,0.16947412991651248,7.3853944332712524
6,구로구,구로동,신구로자이,20240228,700,84.94,14.0,2007.0,구로구 구로동 0501-0000,2024,202402,3.5,58.7,114035,0.062121278554829656,0.09435699565922744,0.28011575393519533,0.3794536765028281,0.1839522953479195,7.212296533394964
7,구로구,구로동,신구로자이,20240228,800,84.94,14.0,2007.0,구로구 구로동 0501-0000,2024,202402,3.5,58.7,114035,0.062121278554829656,0.09435699565922744,0.28011575393519533,0.3794536765028281,0.1839522953479195,7.212296533394964
8,노원구,공릉동,한일휴니스빌,20240228,11800,15.56,17.0,2013.0,노원구 공릉동 0683-0014,2024,202402,3.5,58.7,77249,0.07956090046473094,0.15127703918497326,0.23144636176520084,0.3773511631218527,0.16036453546324225,6.329893617879786
9,마포구,창전동,신촌금호,20240228,95000,84.86,8.0,2001.0,마포구 창전동 0438-0000,2024,202402,3.5,58.7,14688,0.09395424836601307,0.13085511982570805,0.2730119825708061,0.37506808278867104,0.12711056644880175,7.625313276334186
10,서대문구,남가좌동,디엠씨엘가,20240228,13500,13.03,10.0,2017.0,서대문구 남가좌동 0387-0000,2024,202402,3.5,58.7,45707,0.12512306648872165,0.12035355634804297,0.21780033692869802,0.38322357625746606,0.15349946397707134,6.6479324423494015
11,은평구,역촌동,청우참조은,20240228,26000,50.31,2.0,2003.0,은평구 역촌동 0043-0055,2024,202402,3.5,58.7,43730,0.06027898467871027,0.10455065172650355,0.2293391264578093,0.41031328607363365,0.19551795106334324,6.1339627425260215
12,구로구,신도림동,대림e-편한세상4,20240227,148500,117.74,9.0,2003.0,구로구 신도림동 0646-0000,2024,202402,3.5,58.7,36057,0.11393072080317275,0.11800759907923565,0.2480516959258951,0.38494605763097317,0.1350639265607233,7.212296533394964
13,성북구,장위동,석계역한일노벨리아시티,20240227,12900,15.21,11.0,2019.0,성북구 장위동 0008-0002,2024,202402,3.5,58.7,51957,0.08788036260754085,0.10818561502781146,0.22418538406759436,0.40208249129087514,0.1776661470061782,6.243843158944652
14,관악구,봉천동,복권,20240227,31500,47.61,3.0,1971.0,관악구 봉천동 0645-0087,2024,202402,3.5,58.7,221702,0.05440185474195091,0.11782031736294665,0.34555845233692073,0.32166150959395945,0.16055786596422225,6.374571906375385
15,강서구,화곡동,화곡푸르지오,20240227,88000,84.94,11.0,2002.0,강서구 화곡동 1091-0000,2024,202402,3.5,58.7,217278,0.0664632406410221,0.10006995646130763,0.2852934949695781,0.3786945756128094,0.16947412991651248,7.3853944332712524
16,은평구,응암동,위산일리온시티,20240227,34000,26.9,19.0,2020.0,은평구 응암동 0110-0001,2024,202402,3.5,58.7,83476,0.09302074847860463,0.10249652594757774,0.23798457041544877,0.38905793281901385,0.17744022233935502,6.1339627425260215
17,강남구,역삼동,역삼동우정에쉐르1,20240227,77000,71.78,5.0,2004.0,강남구 역삼동 0826-0029,2024,202402,3.5,58.7,70497,0.0711661489141382,0.1251542618834844,0.32236832773025803,0.37937784586578155,0.10193341560633785,8.944714059811606
18,강동구,천호동,천호태영아파트,20240227,91000,84.88,11.0,1999.0,강동구 천호동 0566-0000,2024,202402,3.5,58.7,84813,0.057019560680556046,0.08400834777687383,0.2861825427705658,0.3862261681581833,0.186563380613821,6.780687750503237
19,관악구,봉천동,관악위버폴리스,20240227,58000,107.08,15.0,2010.0,관악구 봉천동 0859-0017,2024,202402,3.5,58.7,221702,0.05440185474195091,0.11782031736294665,0.34555845233692073,0.32166150959395945,0.16055786596422225,6.374571906375385
20,동대문구,답십리동,한일노벨리아,20240227,22000,22.35,13.0,2016.0,동대문구 답십리동 0494-0001,2024,202402,3.5,58.7,55278,0.09027099388545172,0.09607800571655993,0.2564854010637143,0.383787401859691,0.17337819747458302,6.662840571589715
21,성북구,돈암동,한신,20240227,81000,132.96,3.0,1998.0,성북구 돈암동 0609-0001,2024,202402,3.5,58.7,38204,0.0859072348445189,0.13035284263427913,0.19833001779918333,0.4128101769448225,0.1725997277771961,6.243843158944652
22,동대문구,장안동,프라하임장안1,20240227,23800,21.34,6.0,2020.0,동대문구 장안동 0432-0011,2024,202402,3.5,58.7,70146,0.088957317594731,0.10138853248937929,0.24419068799361332,0.396102414963077,0.16936104695919937,6.662840571589715
23,동작구,노량진동,메가스터디타워,20240227,16500,15.97,18.0,2015.0,동작구 노량진동 0057-0001,2024,202402,3.5,58.7,31286,0.04743335677299751,0.10276161861535511,0.33238509237358566,0.33452662532762256,0.18289330691043917,6.3183700971323
24,은평구,대조동,미래하임(6-19),20240226,23500,29.58,9.0,2014.0,은평구 대조동 0006-0019,2024,202402,3.5,58.7,27360,0.047002923976608185,0.10146198830409357,0.3144005847953216,0.35310672514619884,0.1840277777777778,6.1339627425260215
25,영등포구,당산동1가,코오롱,20240226,55000,59.9,9.0,1996.0,영등포구 당산동1가 0009-0001,2024,202402,3.5,58.7,6699,0.050604567845947156,0.08269891028511718,0.38154948499776087,0.31825645618749066,0.16689058068368412,8.13031155597246
26,동대문구,장안동,장안예원(418-4),20240226,20000,32.38,2.0,2002.0,동대문구 장안동 0418-0004,2024,202402,3.5,58.7,70146,0.088957317594731,0.10138853248937929,0.24419068799361332,0.396102414963077,0.16936104695919937,6.662840571589715
