"항목","시점",서울
"항목","시점",서울
"지수 (2017.11 = 100.0)","2020.01",132.8
"지수 (2017.11 = 100.0)","2020.02",134.7
"지수 (2017.11 = 100.0)","2020.03",135.7
"지수 (2017.11 = 100.0)","2020.04",134.6
"지수 (2017.11 = 100.0)","2020.05",135.3
"지수 (2017.11 = 100.0)","2020.06",140.2
"지수 (2017.11 = 100.0)","2020.07",147.3
"지수 (2017.11 = 100.0)","2020.08",152.1
"지수 (2017.11 = 100.0)","2020.09",154.2
"지수 (2017.11 = 100.0)","2020.10",155.4
"지수 (2017.11 = 100.0)","2020.11",158.3
"지수 (2017.11 = 100.0)","2020.12",161.6
"지수 (2017.11 = 100.0)","2021.01",166.7
"지수 (2017.11 = 100.0)","2021.02",169.1
"지수 (2017.11 = 100.0)","2021.03",169.7
"지수 (2017.11 = 100.0)","2021.04",171.0
"지수 (2017.11 = 100.0)","2021.05",174.1
"지수 (2017.11 = 100.0)","2021.06",178.1
"지수 (2017.11 = 100.0)","2021.07",182.1
"지수 (2017.11 = 100.0)","2021.08",185.7
"지수 (2017.11 = 100.0)","2021.09",188.5
"지수 (2017.11 = 100.0)","2021.10",189.1
"지수 (2017.11 = 100.0)","2021.11",185.7
"지수 (2017.11 = 100.0)","2021.12",182.9
"지수 (2017.11 = 100.0)","2022.01",182.1
"지수 (2017.11 = 100.0)","2022.02",180.2
"지수 (2017.11 = 100.0)","2022.03",182.1
"지수 (2017.11 = 100.0)","2022.04",183.8
"지수 (2017.11 = 100.0)","2022.05",181.0
"지수 (2017.11 = 100.0)","2022.06",181.1
"지수 (2017.11 = 100.0)","2022.07",173.7
"지수 (2017.11 = 100.0)","2022.08",168.5
"지수 (2017.11 = 100.0)","2022.09",164.4
"지수 (2017.11 = 100.0)","2022.10",156.6
"지수 (2017.11 = 100.0)","2022.11",147.8
"지수 (2017.11 = 100.0)","2022.12",142.4
"지수 (2017.11 = 100.0)","2023.01",144.3
"지수 (2017.11 = 100.0)","2023.02",147.0
"지수 (2017.11 = 100.0)","2023.03",149.3
"지수 (2017.11 = 100.0)","2023.04",151.5
"지수 (2017.11 = 100.0)","2023.05",153.5
"지수 (2017.11 = 100.0)","2023.06",156.3
"지수 (2017.11 = 100.0)","2023.07",157.9
"지수 (2017.11 = 100.0)","2023.08",159.8
"지수 (2017.11 = 100.0)","2023.09",161.4
"지수 (2017.11 = 100.0)","2023.10",161.1
"지수 (2017.11 = 100.0)","2023.11",158.3
"지수 (2017.11 = 100.0)","2023.12",156.7
"잠정 증감률 (%)","2024.01",0.25
