"????,???
????",??ъм??
2020.01,57.2
2020.02,57.4
2020.03,57.4
2020.04,57.5
2020.05,57.6
2020.06,57.6
2020.07,57.3
2020.08,57.3
2020.09,57.5
2020.1,57.6
2020.11,58
2020.12,58.4
2021.01,58.5
2021.02,58.5
2021.03,58.5
2021.04,58.4
2021.05,58.3
2021.06,58.2
2021.07,57.6
2021.08,57.4
2021.09,57.3
2021.1,57.2
2021.11,57.2
2021.12,57.2
2022.01,57.2
2022.02,57.2
2022.03,57.2
2022.04,57.1
2022.05,57.2
2022.06,57.2
2022.07,57.3
2022.08,57.4
2022.09,57.4
2022.1,57.3
2022.11,56.9
2022.12,55.9
2023.01,54.7
2023.02,53.6
2023.03,53
2023.04,52.8
2023.05,52.8
2023.06,52.7
2023.07,52.7
2023.08,52.8
2023.09,52.9
2023.1,53.1
2023.11,53.4
2023.12,53.7
2024.01,54
2024.02,54.2
