Line,Station Name,Address,Latitude,Longitude
우이신설,4.19민주묘지,서울특별시 강북구 우이동 72-186,37.6494555,127.0135062
3호선,가락시장,서울특별시 송파구 가락동 184-23 가락시장역(3호선),37.4956865,127.1184047
1호선,가산디지털단지,서울특별시 금천구 가산동 468-4,37.4824123,126.8822401
우이신설,가오리,서울특별시 강북구 수유동 338-46,37.6417012,127.0169475
경의중앙,가좌,서울특별시 서대문구 남가좌동 296-12,37.5688828,126.9151667
2호선,강남,서울특별시 강남구 역삼동 858 강남역(2호선),37.5000776,127.0385419
7호선,강남구청,서울특별시 강남구 삼성동 111-44 강남구청역(7호선),37.5167317,127.042221
5호선,강동,서울특별시 강동구 천호동 447 강동역(5호선),37.5443765,127.1276202
8호선,강동구청,서울특별시 강동구 성내동 319 강동구청역(8호선),37.5291562,127.1237948
2호선,강변(동서울터미널),서울특별시 광진구 구의동 546-6 강변역(2호선),37.5353816,127.0945451
5호선,강일,서울특별시 강동구 상일동 산73 강일역(5호선),37.5570545,127.169184
5호선,개롱,서울특별시 송파구 가락동 165-2 개롱역(5호선),37.4956865,127.1184047
1호선,개봉,서울특별시 구로구 개보동 415,37.4949138,126.859724
5호선,개화산,서울특별시 강서구 방화동 846 개화산역(5호선),37.564519,126.8110207
5호선,거여,서울특별시 송파구 거여동 20-14 거여역(5호선),37.4897279,127.1449912
2호선,건대입구,서울특별시 광진구 화양동 7-3 2호선 건대입구역(2호선),37.5408156,127.0690315
3호선,경복궁(정부서울청사),서울특별시 종로구 적선동 81-1 경복궁역(3호선),37.574115,126.9743671
3호선,경찰병원,서울특별시 송파구 가락동 10-15 경찰병원역(3호선),37.491717,127.115294
5호선,고덕,서울특별시 강동구 고덕동 310 고덕역(5호선),37.555406,127.155926
6호선,고려대(종암),서울특별시 성북구 종암동 29-18 고려대역(6호선),37.5981288,127.0404024
3호선,고속터미널,서울특별시 서초구 반포동 19-11 고속터미널역(3호선),37.5054982,127.0011512
5호선,공덕,서울특별시 마포구 공덕동 423-29 공덕역(5호선),37.5511348,126.9583888
7호선,공릉(서울과학기술대),서울특별시 노원구 공릉동 385-4 공릉역(7호선),37.6304722,127.0909904
신림선,관악산,서울 관악구 신림동 211,37.46908604,126.9450865
5호선,광나루(장신대),서울특별시 광진구 광장동 237 광나루역(5호선),37.5408623,127.09657
7호선,광명사거리,경기도 광명시 광명동 158-211 광명사거리역(7호선),37.4717061,126.8526377
경춘,광운대,서울특별시 노원구 월계동 85,37.6234098,127.0622569
5호선,광화문(세종문화회관),서울특별시 종로구 세종로 1-68 5호선 광화문역(5호선),37.5722099,126.9768146
6호선,광흥창(서강),서울특별시 마포구 창전동 145-17 광흥창역(6호선),37.5452972,126.9310644
2호선,"교대(법원, 검찰청)",서울특별시 서초구 서초동 1748-4 교대역(2호선),37.4910405,127.004581
1호선,구로,서울특별시 구로구 구로동 585-3,37.5025798,126.8821545
2호선,구로디지털단지,서울특별시 구로구 구로동 810-3 구로디지털단지역(2호선),37.485363,126.9010775
수인분당,구룡,서울특별시 강남구 개포동 175-3,37.4868621,127.0645824
6호선,구산,서울특별시 은평구 구산동 1 구산역(6호선),37.6134018,126.9050205
2호선,구의(광진구청),서울특별시 광진구 구의동 245-24 구의역(2호선),37.5444007,127.092844
3호선,구파발,서울특별시 은평구 진관동 67-26 구파발역(3호선),37.6358242,126.9241625
5호선,군자(능동),서울특별시 광진구 능동 275-5 군자(능동)역(5호선),37.5505785,127.0817378
5호선,굽은다리(강동구민회관앞),서울특별시 강동구 명일동 345-12 굽은다리역(5호선),37.5490445,127.1508229
1호선,금천구청,서울특별시 금천구 시흥대로63길 91,37.4569435,126.8941786
3호선,금호,서울특별시 성동구 금호동4가 1470 금호역(3호선),37.5474644,127.0256553
5호선,길동,서울특별시 강동구 길동 378 길동역(5호선),37.5396157,127.1459293
4호선,길음,서울특별시 성북구 길음동 877-66 길음역(4호선),37.6085948,127.0220461
5호선,김포공항,서울특별시 강서구 방화동 886 김포공항역(5호선),37.5557019,126.8045874
5호선,까치산,서울특별시 강서구 화곡동 662-5 까치산역(5호선),37.5512896,126.8417531
2호선,낙성대(강감찬),서울특별시 관악구 봉천동 1693-39 낙성대역(2호선),37.4799015,126.9404631
7호선,남구로,서울특별시 구로구 구로동 801-95 남구로역(7호선),37.5050823,126.8887869
3호선,남부터미널(예술의전당),서울특별시 서초구 서초동 1748-30 남부터미널역(3호선),37.4811404,127.025186
7호선,남성,서울특별시 동작구 사당동 산25-33 남성역(7호선),37.4889312,126.9691198
1호선,남영,서울특별시 용산구 갈월동 96-1,37.5416244,126.9712367
8호선,남위례,경기도 성남시 수정구 복정동 57 남위례역(8호선),37.46307,127.1391515
4호선,남태령,서울특별시 서초구 방배동 2909 남태령역(4호선),37.490797,126.9897777
8호선,남한산성입구(성남법원?검찰청),경기도 성남시 수정구 단대동 96 남한산성입구역(8호선),37.4549348,127.1572993
7호선,내방,서울특별시 서초구 방배동 874-16 내방역(7호선),37.4910405,127.004581
1호선,노량진,서울특별시 동작구 노량진동 67-2,37.5140077,126.9424338
4호선,노원,서울특별시 노원구 상계동 602-5 노원역(4호선),37.6561147,127.0623967
3호선,녹번,서울특별시 은평구 녹번동 55 녹번역(3호선),37.6046138,126.9323836
6호선,녹사평(용산구청),서울특별시 용산구 용산동4가 4 녹사평역(6호선),37.5305359,126.9851825
1호선,녹천,서울특별시 도봉구 창동 57-11,37.6456347,127.0509423
7호선,논현,서울특별시 강남구 논현동 279-67 논현역(7호선),37.5201287,127.0393976
8호선,단대오거리,경기도 성남시 수정구 신흥동 2467 단대오거리역(8호선),37.4494334,127.1515801
5호선,답십리,서울특별시 성동구 용답동 99 답십리역(5호선),37.5645064,127.0575456
4호선,당고개,서울특별시 노원구 상계동 111 당고개역(4호선),37.670607,127.0793321
신림선,당곡,서울 관악구 봉천동 985,37.49022554,126.9275727
2호선,당산,서울특별시 영등포구 당산동 6가 323-1 당산역(2호선),37.5346602,126.9028802
2호선,대림(구로구청),서울특별시 구로구 구로동 1204 대림역(2호선),37.4934315,126.8947998
1호선,대방,서울특별시 영등포구 신길동 1368-3,37.51331,126.9257017
3호선,대청,서울특별시 강남구 일원동 700-9 대청역(3호선),37.484233,127.084225
3호선,대치,서울특별시 강남구 대치동 317-3 대치역(3호선),37.49387,127.061371
6호선,대흥(서강대앞),서울특별시 마포구 대흥동 128-1 대흥역(6호선),37.5497599,126.9431416
3호선,도곡,서울특별시 강남구 도곡동 339-2 도곡역(3호선),37.4885906,127.0452757
2호선,도림천,서울특별시 구로구 신도림동 323-16 도림천역(2호선),37.5142835,126.8829718
7호선,도봉산,서울특별시 도봉구 도봉동 38-3 도봉산역(7호선),37.6890338,127.0466673
3호선,독립문,서울특별시 서대문구 현저동 101 독립문역(3호선),37.5714211,126.9560102
6호선,독바위,서울특별시 은평구 불광동 13-33 독바위역(6호선),37.6217371,126.9272708
1호선,독산,서울특별시 금천구 가산동 717,37.4665133,126.8892552
6호선,돌곶이,서울특별시 성북구 석관동 349-8 돌곶이역(6호선),37.611277,127.0580352
1호선,동대문,서울특별시 종로구 창신동 492-1 동대문역(1호선),37.5728396,127.0144679
2호선,동대문역사문화공원(DDP),서울특별시 중구 을지로 7가 112-3 동대문역사문화공원역(2호선),37.5662916,127.0096225
3호선,동대입구,서울특별시 중구 장충동2가 199-3 동대입구역(3호선),37.5605514,127.0057072
1호선,동묘앞,서울특별시 종로구 숭인동 117 동묘앞역(1호선),37.5775993,127.0223262
4호선,동작(현충원),서울특별시 동작구 동작동 327-1 동작역(4호선),37.5028599,126.9799855
5호선,둔촌동,서울특별시 강동구 둔촌동 416 둔촌동역(5호선),37.527657,127.136231
9호선,둔촌오륜,서울특별시 강동구 둔촌동 227-7 둔촌오륜역(9호선),37.5221461,127.1337753
6호선,디지털미디어시티,서울특별시 은평구 증산동 223-25 디지털미디어시티역(6호선),37.5821436,126.9062444
2호선,뚝섬,서울특별시 성동구 성수동1가 656-745 뚝섬역(2호선),37.5463387,127.0535209
7호선,뚝섬유원지,서울특별시 광진구 자양동 73-2 뚝섬유원지역(7호선),37.540458,127.066694
5호선,마곡,서울특별시 강서구 마곡동 769-3 마곡역(5호선),37.5745847,126.8278331
7호선,마들,서울특별시 노원구 상계동 650 마들역(7호선),37.6543386,127.0626961
5호선,마장,서울특별시 성동구 마장동 804 마장역(5호선),37.567372,127.0349439
5호선,마천,서울특별시 송파구 마천동 307-4 마천역(5호선),37.4952383,127.1532327
5호선,마포,서울특별시 마포구 도화동 160 마포역(5호선),37.5389594,126.9491776
6호선,마포구청,서울특별시 마포구 성산동 592 마포구청역(6호선),37.5656178,126.9046897
경춘,망우,서울특별시 중랑구 상봉동 172,37.599235,127.0912611
6호선,망원,서울특별시 마포구 망원동 378 망원역(6호선),37.5554884,126.8998606
3호선,매봉,서울특별시 강남구 도곡동 179-2 매봉역(3호선),37.4885906,127.0452757
7호선,먹골,서울특별시 중랑구 묵동 189-5 먹골역(7호선),37.5976182,127.0790622
7호선,면목,서울특별시 중랑구 면목동 282-6 면목역(7호선),37.5845464,127.0905862
4호선,명동,서울특별시 중구 충무로2가 109-2 명동역(4호선),37.5617173,126.987815
5호선,명일,서울특별시 강동구 명일동 312 명일역(5호선),37.5490445,127.1508229
8호선,모란,경기도 성남시 수정구 수진동 4518 모란역(8호선),37.4401794,127.1325888
5호선,목동,서울특별시 양천구 목동 926-3 목동역(5호선),37.526072,126.864301
8호선,몽촌토성(평화의문),서울특별시 송파구 신천동 19 몽촌토성역(8호선),37.5209922,127.0991094
3호선,무악재,서울특별시 서대문구 홍제동 26-1 무악재역(3호선),37.5827071,126.9373416
2호선,문래,서울특별시 영등포구 문래동3가 68-1 문래역(2호선),37.518811,126.8996216
8호선,문정,서울특별시 송파구 문정동 119-4 문정역(8호선),37.4855846,127.1225635
5호선,미사,경기도 하남시 망월동 1122 미사역(5호선),37.5637007,127.1929312
4호선,미아(서울사이버대학),서울특별시 강북구 미아동 194-1 미아역(4호선),37.6290856,127.0277879
4호선,미아사거리 ,서울특별시 강북구 미아동 66-1 미아사거리역(4호선),37.6290856,127.0277879
7호선,반포,서울특별시 서초구 잠원동 103 반포역(7호선),37.5151065,127.0137779
5호선,발산,서울특별시 강서구 마곡동 727-1496 발산역(5호선),37.5706297,126.8298909
2호선,방배,서울특별시 서초구 방배동 912-14 방배역(2호선),37.4870964,126.9958157
5호선,방이,서울특별시 송파구 방이동 217-2 방이역(5호선),37.511246,127.1293615
5호선,방화,서울특별시 강서구 방화동 829-15 방화역(5호선),37.5782048,126.8181658
6호선,버티고개,서울특별시 중구 신당동 366-454 버티고개역(6호선),37.5599012,127.0198098
7호선,보라매,서울특별시 동작구 대방동 466-51 보라매역(7호선),37.5062327,126.93435
신림선,보라매공원,서울 동작구 신대방동 722,37.49544297,126.9181366
신림선,보라매병원,서울 동작구 신대방동 395-61,37.49295982,126.9235529
6호선,보문,서울특별시 성북구 보문동1가 127-1 보문역(6호선),37.5866501,127.0196841
8호선,복정,서울특별시 송파구 장지동 596-21 복정역(8호선),37.4768715,127.1320663
수인분당,복정(동서울대학),서울특별시 송파구 장지동 596-21,37.4706579,127.1267053
9호선,봉은사,서울특별시 강남구 삼성동 172 봉은사역(9호선),37.5109479,127.047282
2호선,봉천,서울특별시 관악구 봉천동 979-7 봉천역(2호선),37.487812,126.957234
6호선,봉화산(서울의료원),서울특별시 중랑구 신내동 643-1 봉화산역(6호선),37.6186185,127.1126268
우이신설,북한산보국문,서울특별시 성북구 정릉동 286-19,37.614892,127.0030016
우이신설,북한산우이,서울특별시 강북구 우이동 16-20,37.6429807,127.0153391
3호선,불광,서울특별시 은평구 대조동 13-10 불광역(3호선),37.6120477,126.923359
7호선,사가정,서울특별시 중랑구 면목동 495 사가정역(7호선),37.5719656,127.0845223
2호선,사당,서울특별시 동작구 사당동 1129 사당역(2호선),37.4798074,126.9772568
8호선,산성,경기도 성남시 수정구 신흥동 7 산성역(8호선),37.4494334,127.1515801
4호선,삼각지,서울특별시 용산구 한강로1가 228-1 삼각지역(4호선),37.5325443,126.9747393
2호선,삼성(무역센터),서울특별시 강남구 삼성동 172-66 삼성역(2호선),37.508861,127.063149
9호선,삼성중앙,서울특별시 강남구 삼성동 111-147 삼성중앙역(9호선),37.5109479,127.047282
우이신설,삼양,서울특별시 강북구 미아동 791-4703,37.6429807,127.0153391
우이신설,삼양사거리,서울특별시 강북구 미아동 745-142,37.6213106,127.0202367
9호선,삼전,서울특별시 송파구 잠실동 347 삼전역(9호선),37.5067945,127.0830482
4호선,상계,서울특별시 노원구 상계동 156-203 상계역(4호선),37.6610573,127.0736304
7호선,상도,서울특별시 동작구 상도1동 702-1 상도역(중대입구역)(7호선),37.5032626,126.9506566
경춘,상봉,서울특별시 중랑구 상봉동 100-46,37.5967657,127.0860297
6호선,상수,서울특별시 마포구 상수동 309-10 상수역(6호선),37.5496159,126.9224682
2호선,상왕십리,서울특별시 성동구 하왕십리동 946-14 상왕십리역(2호선),37.5639874,127.0280247
6호선,상월곡(한국과학기술연구원),서울특별시 성북구 상월곡동 26-1 상월곡역(6호선),37.6060997,127.0478098
5호선,상일동,서울특별시 강동구 상일동 148 상일동역(5호선),37.5570545,127.169184
6호선,새절(신사),서울특별시 은평구 신사동 337-5 새절역(6호선),37.595613,126.9072033
경의중앙,서강대,서울특별시 마포구 노고산동 112-5,37.5522603,126.9353225
5호선,서대문,서울특별시 종로구 평동 210 서대문역(5호선),37.5680974,126.9687373
경의중앙,서빙고,서울특별시 용산구 서빙고동 241-98,37.5199438,126.9900421
1호선,서울,서울특별시 중구 남대문로5가 73-6 서울역(1호선),37.5587351,126.9738593
신림선,서울대벤처타운,서울 관악구 신림동 110-10,37.47200863,126.9339633
2호선,서울대입구(관악구청),서울특별시 관악구 봉천동 979-2 서울대입구역(2호선),37.4799015,126.9404631
수인분당,서울숲,서울특별시 성동구 성수동1가 656-436,37.5440265,127.0448771
신림선,서울지방병무청,서울 동작구 대방동 466-41,37.50602838,126.9227423
신림선,서원,서울 관악구 신림동 808-407,37.47823864,126.9331128
2호선,서초,서울특별시 서초구 서초동 1748-5 서초역(2호선),37.4910405,127.004581
6호선,석계,서울특별시 노원구 월계동 25-2 석계역(6호선),37.6282394,127.0567599
9호선,석촌,서울특별시 송파구 석촌동 209 석촌역(9호선),37.5024352,127.1026694
9호선,석촌고분,서울특별시 송파구 삼전동 157-1 석촌고분역(9호선),37.5019016,127.0918885
2호선,선릉,서울특별시 강남구 삼성동 172-66 선릉역(2호선),37.508861,127.063149
9호선,선정릉,서울특별시 강남구 삼성동 111-114 선정릉역(9호선),37.513975,127.0561274
2호선,성수,서울특별시 성동구 성수동2가 300-1 성수역(2호선),37.5446813,127.0569827
