학교종류명,설립구분,학교명,영문학교명,남녀공학구분명,고등학교구분명,고등학교일반실업구분명,특수목적고등학교계열명,Longitude,Latitude,도로명주소,구주소,동
각종학교(중),사립,선화예술중학교,Sunhwa Arts Middle School,남여공학,,일반계,,127.0876695,37.55009,서울특별시 광진구 천호대로 664 선화예술중고등학교,서울특별시 광진구 능동 25 선화예술중고등학교,능동
초등학교,공립,서울숭신초등학교,Seoul Soongshin Elementary School,남여공학,,일반계,,127.0278272,37.5679349,서울특별시 성동구 마장로 161 서울숭신초등학교,서울특별시 성동구 하왕십리동 1068 서울숭신초등학교,하왕십리동
중학교,공립,행당중학교,Haengdang Middle School,남여공학,,일반계,,127.0422956,37.554609,서울특별시 성동구 왕십리로 189 행당중학교,서울특별시 성동구 행당동 66-3 행당중학교,행당동
중학교,사립,한양대학교사범대학부속중학교,Hanyang University Middle School,남여공학,,일반계,,127.0423528,37.5618869,서울특별시 성동구 마조로 42 한양대부속중고등학교,서울특별시 성동구 사근동 223 한양대부속중고등학교,사근동
중학교,공립,자양중학교,Jayang Middle School,남여공학,,일반계,,127.0745919,37.5355857,서울특별시 광진구 뚝섬로41길 33 서울자양중학교,서울특별시 광진구 자양동 520-3 서울자양중학교,자양동
중학교,공립,용곡중학교,Yong-gok Middle School,남여공학,,일반계,,127.0889891,37.5660972,서울특별시 광진구 용마산로22길 76 용곡중학교,서울특별시 광진구 중곡동 176-77 용곡중학교,중곡동
중학교,공립,옥정중학교,Ok-Jung Middle School,남여공학,,일반계,,127.0123688,37.5416558,서울특별시 성동구 한림말길 11 옥정중학교,서울특별시 성동구 옥수동 227 옥정중학교,옥수동
중학교,공립,양진중학교,Yangjin Middle School,남여공학,,해당없음,,127.0983487,37.5450433,서울특별시 광진구 워커힐로 32 양진초중학교,서울특별시 광진구 광장동 414-1 양진초중학교,광장동
중학교,공립,신양중학교,Shinyang Middle School,남여공학,,일반계,,127.0634763,37.5335768,서울특별시 광진구 자양강변길 73 신양중학교,서울특별시 광진구 자양동 57-8 신양중학교,자양동
중학교,공립,성원중학교,Sungwon Middle School,남여공학,,일반계,,127.0520796,37.5394134,서울특별시 성동구 성덕정9가길 13 성원중학교,서울특별시 성동구 성수동2가 333-17 성원중학교,성수동2가
중학교,공립,성수중학교,Seongsu Middle School,남여공학,,일반계,,127.038654,37.5472724,"서울특별시 성동구 서울숲길 18 성수중,고등학교","서울특별시 성동구 성수동1가 685-143 성수중,고등학교",성수동1가
중학교,공립,무학중학교,Muhak Middle School,남여공학,,일반계,,127.032143,37.5576848,서울특별시 성동구 행당로 120 무학중학교,서울특별시 성동구 행당동 322-1 무학중학교,행당동
중학교,공립,마장중학교,Majang Junior High School,남여공학,,해당없음,,127.0419125,37.56875,"서울특별시 성동구 마장로35나길 31 마장초,중학교","서울특별시 성동구 마장동 766-49 마장초,중학교",마장동
중학교,사립,대원국제중학교,Daewon International Middle School,남여공학,,일반계,,127.0895522,37.5633128,서울특별시 광진구 용마산로22길 26 대원학원,서울특별시 광진구 중곡동 176-124 대원학원,중곡동
중학교,공립,동마중학교,Dongma Middle School,남여공학,,일반계,,127.0398565,37.562694,서울특별시 성동구 마조로11길 18 동마중학교,서울특별시 성동구 마장동 405-45 동마중학교,마장동
중학교,사립,동국대학교사범대학부속여자중학교,Girls Middle School Attached to College of Education/ Dongguk University,여,,일반계,,127.0869682,37.5432792,서울특별시 광진구 광나루로36길 47 동국대학교사범대학부속여자중고등학교,서울특별시 광진구 구의동 238-1 동국대학교사범대학부속여자중고등학교,구의동
중학교,공립,구의중학교,Guui Middle School,남여공학,,일반계,,127.0790789,37.5431208,서울특별시 광진구 광나루로30길 80 구의중학교,서울특별시 광진구 화양동 303-18 구의중학교,화양동
중학교,공립,광희중학교,Kwanghee Middle School,남여공학,,일반계,,127.033875,37.5511833,서울특별시 성동구 독서당로62길 46 광희중학교,서울특별시 성동구 응봉동 193 광희중학교,응봉동
중학교,공립,광진중학교,Gwangjin Middle School,남여공학,,일반계,,127.0896129,37.5322716,서울특별시 광진구 뚝섬로64길 45 광진중학교,서울특별시 광진구 자양동 693 광진중학교,자양동
중학교,공립,광장중학교,Gwangjang Middle School,남여공학,,일반계,,127.1017719,37.5472791,서울특별시 광진구 광장로1길 1 광장중학교,서울특별시 광진구 광장동 394-5 광장중학교,광장동
중학교,공립,광양중학교,Kwangyang Middle School,남여공학,,일반계,,127.0854605,37.5304018,서울특별시 광진구 자양로3길 7 서울광양중학교,서울특별시 광진구 자양동 674 서울광양중학교,자양동
중학교,공립,광남중학교,Gwangnam Middle School,남여공학,,일반계,,127.101776,37.5407382,서울특별시 광진구 아차산로70길 17-62 광남중학교,서울특별시 광진구 광장동 554-15 광남중학교,광장동
중학교,공립,경일중학교,Kyungil Middle School,남여공학,,해당없음,,127.0474705,37.543916,서울특별시 성동구 성수일로 27 경일 중.고등학교,서울특별시 성동구 성수동1가 22-27 경일 중.고등학교,성수동1가
